node_1|node_2|edge|chunk_id|node_3|node_4
awareness|ontologically prior|Awareness, as the necessary condition of cognition, lies ontologically prior to the cognitive faculties of the mind that facilitate, bound, and knowledge of any kind through the process of cognition.|1f52e9b7667b4f0a8ccd1c1c83c2df58||
awareness|cognitive framework|Our knowledge of anything at all is not just as a result of cognition alone, but as a result of the entire metaphysical, ontological and epistemological framework upon which both the knowledge of said thing depends, and the cognitive framework within which said knowledge is gained or acquired.|1f52e9b7667b4f0a8ccd1c1c83c2df58||
awareness|metaphysical construct|Awareness, as a primordial metaphysical principle, is the necessary dependent metaphysical construct upon which both Kant's theoretical and practical philosophy rests.|1f52e9b7667b4f0a8ccd1c1c83c2df58||
awareness|cognition|Awareness gives cognitive properties to the act of cognition itself, lying underneath or ontologically prior to these faculties of the mind which facilitate, bound, and knowledge of any kind through the process of cognition.|1f52e9b7667b4f0a8ccd1c1c83c2df58||
metaphysical principle|epistemology|Kant's system of metaphysics or epistemology is constructed upon this primordial metaphysical principle.|1f52e9b7667b4f0a8ccd1c1c83c2df58||
metaphysical principle|theoretical philosophy|Kant's theoretical philosophy rests on this primordial metaphysical principle.|1f52e9b7667b4f0a8ccd1c1c83c2df58||
metaphysical principle|practical philosophy|Kant's practical philosophy rests on this primordial metaphysical principle.|1f52e9b7667b4f0a8ccd1c1c83c2df58||
awareness|cognitive process|implied in a fundamental way, working at a level that is much grander and global - from an ontological perspective - than understanding, which is a 'local' construct in the sense that it is bound by the individual psyche or conscious mind of the person undergoing the experience.|8851d3c908df46ccbbdcd0562eadac6a||
awareness|experience|operates at a much broader metaphysical perspective and vantage point, contributing to the knowledge that is gained as part of the cognitive process in a way that is more profound than understanding.|8851d3c908df46ccbbdcd0562eadac6a||
understanding|individual psyche|bound by the individual psyche or conscious mind of the person undergoing the experience.|8851d3c908df46ccbbdcd0562eadac6a||
awareness|metaphysical grounding of the experience|Awareness provides the metaphysical grounding of the experience, which is absolutely critical to the cognitive process as cognition would not occur without it.|5833644e8aaa4506abe6d53df667ebbe||
awareness|global aggregate construct|Awareness acts as a global aggregate construct that encapsulates the experience from a psychological perspective, a collective frame of reference within which experience is processed through which the result of cognition, i.e., knowledge, is realized.|5833644e8aaa4506abe6d53df667ebbe||
understanding|awareness|Similar to faculties of perception and comprehension, Understanding and Awareness work together to provide the psychological grounding of the experience.|5833644e8aaa4506abe6d53df667ebbe||
awareness|ontological entity|In order for any experience or act of cognition to occur, and in turn for any form of knowledge to be acquired or gained as a result of said experience of act of cognition, there must exist an ontological entity called Awareness. This implies that without this Awareness, the cognitive process from which knowledge is derived is incomplete.|45258218035341fda8c65a376568e0e0||
awareness|epistemological entity|As a prerequisite component of the process by which knowledge is gained or arrived at, Awareness must be an ontological entity in and of itself. Therefore, as an epistemological entity, without it, the cognitive process by which knowledge is defined in the abstract, metaphysical sense, is incomplete.|45258218035341fda8c65a376568e0e0||
awareness|real thing|Our Metaphysics of Awareness suggests, requires really, that there must be a ground of being or Awareness, which must exist in order for any experience or act of cognition to occur, and in turn for any form of knowledge to be acquired or gained as a result of said experience of act of cognition.|45258218035341fda8c65a376568e0e0||
awareness|cognitive process|As such, this Awareness must be a real thing, an epistemological entity in the sense that without it, the cognitive process from which knowledge is derived, is incomplete.|45258218035341fda8c65a376568e0e0||
awareness|ground of being|Our Metaphysics of Awareness suggests, requires really, that there must be a ground of being or Awareness, which must exist in order for any experience or act of cognition to occur.|45258218035341fda8c65a376568e0e0||
awareness|metaphysical entity|As a fundamental component of the cognitive process by which knowledge is bound or defined in the abstract, metaphysical sense.|45258218035341fda8c65a376568e0e0||
awareness|cognition|while cognition is a process through which experience is understood, awareness sits orthogonal to it and provides the metaphysical ground for the experience to occur. Awareness is not a purely rational faculty but informs the cognitive process.|653aa51dec9448348a8c1be7104aa27d||
awareness|experience|awareness represents the very forefront of experience, in its most 'raw' form, prior to the application of any sort of intellectual paradigm or act of cognition.|653aa51dec9448348a8c1be7104aa27d||
awareness|dynamic quality|Awareness can be understood as Pirsig's Dynamic Quality, which reflects a feedback loop that connects the discrete experience with the psyche as an abstract and continuous entity or being.|653aa51dec9448348a8c1be7104aa27d||
kant's metaphysics|awareness|Awareness provides a collective, aggregate metaphysical construct to the cognitive process that informs it and reflects a feedback loop that connects the discrete experience with the psyche as an abstract and continuous entity or being.|653aa51dec9448348a8c1be7104aa27d||
kant's metaphysics|reason itself|Awareness can and should be understood as a logical extension of Kant's metaphysics which establishes mind as the ontological primordial principle within which knowledge must be defined in relation to, providing the metaphysical ground for Reason itself.|653aa51dec9448348a8c1be7104aa27d||
awareness|supra-rational|Awareness is a component of the cognitive process that operates at a higher level of abstraction and symbolic representation, providing a contextual framework for experience and knowledge absorption.|53c6f9038192467e90756650c2625407||
awareness|platonic forms|Awareness is related to Platonic forms, which are abstract concepts or idealized entities that exist independently of physical objects, as Awareness operates with symbols and levels of abstraction.|53c6f9038192467e90756650c2625407||
cognitive faculties|comprehension or understanding|Cognitive faculties, such as comprehension or understanding, are linear algorithms that apply to grouping, sorting, attribute, and quality determination, whereas Awareness provides a supra-rational ground for the cognitive process.|53c6f9038192467e90756650c2625407||
metaphysics of awareness|epistemological framework|The Metaphysics of Awareness can be considered as a metaphysical paradigm that arises from applying quantum-like principles to the prevailing epistemological framework in philosophy, which is inherently classical in nature.|3346d49ee562470c9e788acb63c5fe29||
metaphysics of awareness|social or human focused content|The Metaphysics of Awareness deals with metaphysical concepts that are not necessarily tied to any object or rational paradigm, but have social or human-focused content and shape.|3346d49ee562470c9e788acb63c5fe29||
metaphysics of awareness|jungian archetypes|The Metaphysics of Awareness encompasses Jungian archetypes, which are a priori knowledge that is not tied to any object or rational paradigm but has social or human-focused content and shape.|3346d49ee562470c9e788acb63c5fe29||
metaphysics of awareness|classical concept|In contrast to the Metaphysics of Awareness, which is a metaphysical paradigm arrived at via quantum-like principles, modern Western philosophy, as established by Kant primarily, considers knowledge to be a fundamentally classical concept.|3346d49ee562470c9e788acb63c5fe29||
metaphysics of awareness|cognitive process|What we are doing here to Kant's cognitive process, his epistemological framework, is effectively quantizing it.|3346d49ee562470c9e788acb63c5fe29||
awareness|cognitive framework|In the context provided, Awareness is introduced as a metaphysical construct that brings fundamentally quantum like features to Kant's epistemological framework. This suggests that Awareness has an impact on the cognitive framework, which can be understood as a result of the (mental) processes of perception, comprehension and understanding complemented or augmented by Awareness that bring 'non-local' attributes and qualities to the experience via its grounding, and meta-defining function in the cognitive framework itself.|b43924f603d64776bdd16c321c55d996||
awareness|individualized and discrete 'thing'|The context provided also suggests that with the introduction of Awareness, knowledge can be conceived of both as an individualized and discrete 'thing' in and of itself.|b43924f603d64776bdd16c321c55d996||
knowledge|perception, comprehension and understanding|The context provided also implies that knowledge can be defined more holistically as a result of the (mental) processes of perception, comprehension and understanding complemented or augmented by Awareness.|b43924f603d64776bdd16c321c55d996||
awareness|quantum theory|Theoretical foundations of Quantum Theory align nicely with the intellectual and metaphysical perspective of Awareness, as knowledge in both is individual state based but also informed by the totality of the intellectual landscape and paradigm of the mind.|d92341df77dc4638b9198610e671f374||
knowledge|individual psyche|In this epistemological framework, knowledge exists both as a discrete product within the individual psyche and also participates in and contributes to collective knowledge as it is stored and captured within Awareness.|d92341df77dc4638b9198610e671f374||
quantum|slits|Just as with Quantum Theory, if we extrapolate its theoretical foundations to metaphysics, knowledge is both individual state based and informed by its environment, like how quanta navigates through the slits in the famous double-slit experiment.|d92341df77dc4638b9198610e671f374||
cognition|specific event, object or thought|Knowledge is both individual state based - emerging from a specific act of cognition related to a specific event, object or thought.|d92341df77dc4638b9198610e671f374||
collective knowledge|human cognitive landscape|Knowledge manifests both as it emerges within the individual psyche and also participates in and contributes to collective knowledge, according to a constant information feedback loop across the entire human cognitive landscape.|d92341df77dc4638b9198610e671f374||
metaphysics of awareness|quantum revolution|Furthermore, like Quantum Theory, our Metaphysics of Awareness is fundamentally non-local, as understood from an epistemological perspective again, in that knowledge is a function of not only the 'object' of cognition - be it a rational formula or some result of perception or a synthetic of the two - but also a function of the overarching intellectual and ontological ground of knowledge itself, i.e. Awareness.|e30fafc83c834421a2e4323c0a557bfd||
metaphysics of awareness|kant's philosophy|with his inversion of the epistemological foundation effectively being analogous to our quantizing of his metaphysics.|e30fafc83c834421a2e4323c0a557bfd||
awareness|cognitive process|Now that we have extended Kant's metaphysics to include a ground of the cognitive, knowledge acquisition, process, and established Awareness as a metaphysical and ontological principle, we have the opportunity to fully integrate Psychology into the cognitive process, taking advantage of the advancements in this field since Kant established his Metaphysics of Morals at the end of the Enlightenment.|e30fafc83c834421a2e4323c0a557bfd||
awareness|quantum revolution|Also, as we have hinted at already, now that we have extended Kant's metaphysics to include a ground of the cognitive, knowledge acquisition, process, and established Awareness as a metaphysical and ontological principle, we have the opportunity to fully integrate Psychology into the cognitive process, taking advantage of the advancements in this field since Kant established his Metaphysics of Morals at the end of the Enlightenment.|e30fafc83c834421a2e4323c0a557bfd||
metaphysics of awareness|freudian psychology|The quantized nature of Metaphysics of Awareness leads us to lean less on Freudian psychology's behavioristic and mechanistic conception of mind.|71d972dfca4644e9b206ef15dba792c0||
metaphysics of awareness|jungian psychology|The more holistic approach to the understanding of human, individual behavior as a function of or as it relates to the collective unconscious in Jungian psychology is leaned on more.|71d972dfca4644e9b206ef15dba792c0||
metaphysics of awareness|individuation|The interconnectedness principle, derived from Metaphysics of Awareness, drives Jung's concept of individuation.|71d972dfca4644e9b206ef15dba792c0||
jungian psychology|metaphysics of awareness|The close corollary between the collective unconscious in Jungian psychology and our Metaphysics of Awareness is established.|71d972dfca4644e9b206ef15dba792c0||
individual consciousness or cognition|metaphysics of awareness|Awareness provides the metaphysical connection for individual consciousness or cognition.|71d972dfca4644e9b206ef15dba792c0||
all beings, all existence|metaphysics of awareness|Effectively linking all of these sentient beings that leverage and utilize this collective, aggregate, metaphysical, and psychological principle of Awareness for cognition.|71d972dfca4644e9b206ef15dba792c0||
individualization|jung's concept of individuation|The process by which the psyche merges with and assimilates archetypes from the collective unconscious and thereby psychologically becomes fully formed or complete, i.e. individualized.|71d972dfca4644e9b206ef15dba792c0||
desire|awareness|In Freudian psychology, desire is understood as the driving force of behavior and can be interpreted as a reflection of the more fundamental human desire to be united with Awareness, the very ground of experience itself. This principle of Awareness represents the metaphysical and ontological equivalent of samādhi in Yoga, nirvana in the Buddhist tradition, and Satcitānanda in the Upanishads.|d2ba514cb22640779bcb8a12f9a1520c||
eros|kosmos|In Hellenic mythos, Eros is responsible at some level for keeping the kosmos together as the motivating principle behind order and reason, which not only brings the cosmos into existence but also maintains its unity.|d2ba514cb22640779bcb8a12f9a1520c||
logos|kosmos|In Judeo-Christian tradition, Logos is responsible for keeping the kosmos together as the motivating principle behind order and reason, which not only brings the cosmos into existence but also maintains its unity.|d2ba514cb22640779bcb8a12f9a1520c||
samādhi|awareness|In Eastern philosophy, samādhi represents the metaphysical and ontological equivalent of Awareness.|d2ba514cb22640779bcb8a12f9a1520c||
nirvana|awareness|In the Buddhist tradition, nirvana represents the metaphysical and ontological equivalent of Awareness.|d2ba514cb22640779bcb8a12f9a1520c||
satcitānanda|awareness|In the Upanishads, Satcitānanda represents the metaphysical and ontological equivalent of Awareness.|d2ba514cb22640779bcb8a12f9a1520c||
satcitānanda|awareness|In Upanishadic philosophy, Satcitānanda is equated with the source of knowledge and the very ground of being itself as a theological and metaphysical principle. This aligns with the Western philosophical concept of ontology which gets its name from the Greek óntōs. Therefore, Satcitānanda can be seen as Awareness, resting in a different metaphysical, cultural, and linguistic framework.|7420afc0d4c447b98b3886f056e77f39||
existence-knowledge-bliss-absolute|satcitānanda|The most common translation of Satcitānanda is Existence-Knowledge-Bliss-Absolute, vocabulary which has clear alignment with Western philosophical theoretical frameworks such as ontology, psychology, and theology.|7420afc0d4c447b98b3886f056e77f39||
being|satcitānanda|The word Satcitānanda is a composite in the Sanskrit of almost all of the underlying philosophical, intellectual, and ontological paradigms that come together with and under Awareness as an ontological first principle. This includes sat, 'being' or 'existing', which has a direct line of site into the Greek óntōs from which the discipline of ontology gets its name.|7420afc0d4c447b98b3886f056e77f39||
perception|satcitānanda|Cit, 'to perceive', 'understand', or 'know', is also a part of the composite term Satcitānanda.|7420afc0d4c447b98b3886f056e77f39||
happiness|satcitānanda|Another component of the term Satcitānanda is ananda, 'happiness', 'pleasure', or 'bliss'. This has clear Freudian connotations.|7420afc0d4c447b98b3886f056e77f39||
awareness|psychological perspective|In this capacity, Awareness can be viewed from a Psychological perspective.|6fc912d37f5b4e0da036f65dcb717ae9||
fulfillment of ultimate desire|integration of psyche with awareness|i.e. The direct and complete integration of the psyche with Awareness - or perhaps better put as the dissolution of the psyche, the mind, into the state of pure, unadulterated Awareness, which is what we have called throughout supraconsciousness.|6fc912d37f5b4e0da036f65dcb717ae9||
desire fulfillment|theological imperative|in this mystical context which is so fundamental to Eastern philosophy, desire is understood as a theological imperative,|6fc912d37f5b4e0da036f65dcb717ae9||
journey back up metaphysical paradigm|individuation|where individuation, in its absolution, is fully realized.|6fc912d37f5b4e0da036f65dcb717ae9||
defining feature|metaphysics of awareness|One of its defining features in fact.|6fc912d37f5b4e0da036f65dcb717ae9||
awareness|eastern philosophy|In a way reflects the fundamental divide between Eastern and Western philosophy.|a98b23a21f7c4f8d95ba46386bb216bd||
awareness|religion|Represents the very foundations of knowledge itself from which all forms of knowledge, all reality even, is based.|a98b23a21f7c4f8d95ba46386bb216bd||
awareness|western worldview|Forces us to recast our epistemological position,|a98b23a21f7c4f8d95ba46386bb216bd||
awareness|metaphysics of mind|Is a 'real' thing in and of itself, from an epistemological and in turn ontological perspective,|a98b23a21f7c4f8d95ba46386bb216bd||
awareness|higher order knowledge|Reflects a certain kind of higher order knowledge,|a98b23a21f7c4f8d95ba46386bb216bd||
eastern philosophy|western worldview|Should be looked at as complementary and orthogonal domains of knowledge, different perspectives on the same reality, not as alternative mutually exclusive domains of truth which unfortunately they are typically conceived as.|a98b23a21f7c4f8d95ba46386bb216bd||
metaphysics of awareness|understanding|The integrated framework presented in the context opens doors to understanding various forms of ancient theology and metaphysics, including the Metaphysics of Awareness.|194319a1ac7842ec8c9a38440d6e6231||
metaphysics of awareness|conception of reality|The integrated framework presented in the context allows us to see various forms of ancient theology and metaphysics, including the Metaphysics of Awareness, as conceptions of reality.|194319a1ac7842ec8c9a38440d6e6231||
metaphysics of awareness|theological and philosophical conceptions|From a Western metaphysics perspective presented in the context, we can see Bohm's conception of the implicate order and explicate order as analogous to the realm of God and underlying realities described in Physics.|194319a1ac7842ec8c9a38440d6e6231||
metaphysics of awareness|ancient theology|The Stoic notion of corporealism, the concept that everything is 'alive' and 'animated' and is permeated with divine consciousness, from which the Christian concept of the Holy Spirit is derived through the Stoic pneuma, can now be seen as a theological description of Awareness in the Metaphysics of Awareness.|194319a1ac7842ec8c9a38440d6e6231||
understanding|ancient theology|The integrated framework presented in the context allows us to understand various forms of ancient theology, including the Stoic notion of corporealism.|194319a1ac7842ec8c9a38440d6e6231||
understanding|conception of reality|From a Western metaphysics perspective presented in the context, we can understand various forms of ancient theology and metaphysics as conceptions of reality.|194319a1ac7842ec8c9a38440d6e6231||
metaphysics of awareness|philosophy|In turn, the sub-discipline of metaphysics in the Metaphysics of Awareness can be used to contemplate and understand various forms of ancient theology and metaphysics.|194319a1ac7842ec8c9a38440d6e6231||
metaphysics of awareness|classical mechanics|From a Western metaphysics perspective presented in the context, we can see Bohm's conception of the implicate order and explicate order as analogous to classical mechanics.|194319a1ac7842ec8c9a38440d6e6231||
metaphysics of awareness|quantum mechanics|In turn, we can see Bohm's conception of the implicate order and explicate order as analogous to quantum mechanics.|194319a1ac7842ec8c9a38440d6e6231||
metaphysics of awareness|reason|From a Western metaphysics perspective presented in the context, we can see Awareness as a higher order explicate reality of Reason.|194319a1ac7842ec8c9a38440d6e6231||
indian philosophical conception of knowledge|satcitānanda or brahman|holds that there exists a 'higher' form of knowledge, the direct experience of Satcitānanda or Brahman, from which lower forms of knowledge become intellectually tenable.|de9d967760b94f2e9d51fa1e1396d098||
lower forms of knowledge|objective realism or even quantum mechanics|become intellectually tenable from the direct experience of Satcitānanda or Brahman, as per the Indian philosophical conception of knowledge.|de9d967760b94f2e9d51fa1e1396d098||
neo-platonic one|metaphysics of awareness|provides a cognitive and rational intellectual paradigm through which we can come to a greater understanding.|de9d967760b94f2e9d51fa1e1396d098||
divine intellect and the soul|metaphysics of awareness|provides a cognitive and rational intellectual paradigm through which we can come to a greater understanding.|de9d967760b94f2e9d51fa1e1396d098||
awareness|individual and collective level|is explained as the Christian Trinity, which - like the Christian Trinity - can be viewed as a triad of theological principles through which Awareness, at both the individual and collective level, is explained.|de9d967760b94f2e9d51fa1e1396d098||
religion|science|are established on common intellectual ground as it were, bound together with this notion of Awareness which is both local and specific to the individual psyche or mind (as is presumed and reflected in the domain of Science) and at the same time non-local and reflective of Jung's collective unconscious, the repository of human archetypes and mythos (which is reflected in Religion more or less).|de9d967760b94f2e9d51fa1e1396d098||
awareness|cognitive experience|Establishing the Metaphysics of Awareness leads to the conclusion that a ground of cognitive experience, which we call Awareness, provides the metaphysical basis for cognition and knowledge.|01b464adc03b4e9eb0c2e032940157a1||
awareness|jung's collective unconscious|This Awareness is equivalent to Jung's collective unconscious, the storehouse of archetypes and mythos not just for the individual, but for the 'collective' - i.e. society, culture, humanity - as a whole.|01b464adc03b4e9eb0c2e032940157a1||
awareness|interconnectedness principle|Through Awareness we can deduce the existence of an interconnectedness principle upon which the ground of all existence, all being (ontology) is based.|01b464adc03b4e9eb0c2e032940157a1||
morality|interconnectedness principle|The interconnectedness principle reinforces morality as 'others' - beings that exist outside of yourself - no longer have any metaphysical or philosophical significance. Everything is connected in a ground of Awareness.|01b464adc03b4e9eb0c2e032940157a1||
morality|life|Morality is expanded upon to include all forms of life.|01b464adc03b4e9eb0c2e032940157a1||
morality|planet|The planet, which is effectively a biological organism that is grounded in the same Awareness upon which our consciousness rests, also falls under the umbrella of morality.|01b464adc03b4e9eb0c2e032940157a1||
metaphysics of awareness|being and cognition|Supraconsciousness is Awareness. Awareness then is an ontological first principle required for being and cognition in and of themselves as intellectual and metaphysical constructs, effectively connecting the two not just from a metaphysical perspective but also ontologically as well.|85f214040fc94505a2047b9c732106b0||
metaphysics of awareness|intellectual and metaphysical constructs|Supraconsciousness is Awareness. Awareness then is an ontological first principle that is required for being and cognition in and of themselves as intellectual and metaphysical constructs.|85f214040fc94505a2047b9c732106b0||
metaphysics of awareness|eastern philosophical and mystical implications|Awareness itself is not just an ontological construct, existing as an entity - a being - in and of itself, but also can be experienced directly, undiluted by cognition so to speak.|85f214040fc94505a2047b9c732106b0||
metaphysics of awareness|philosophy and psychology|Integrated within Metaphysics of Awareness as complimentary disciplines resting upon the concept of Awareness.|85f214040fc94505a2047b9c732106b0||
metaphysics of awareness|eastern and western philosophy|Integrated with Metaphysics of Awareness, again all connected via the principle of Awareness that rests not only as the ground of cognition by the human mind, but as an ontological first principle upon which Metaphysics of Awareness fundamentally rests.|85f214040fc94505a2047b9c732106b0||
metaphysics of awareness|mysticism|Integrated with Metaphysics of Awareness, again all connected via the principle of Awareness that rests not only as the ground of cognition by the human mind, but as an ontological first principle upon which Metaphysics of Awareness fundamentally rests.|85f214040fc94505a2047b9c732106b0||
metaphysics of awareness|consciousness|Supraconsciousness is Awareness. Awareness then is an ontological first principle that is required for consciousness.|85f214040fc94505a2047b9c732106b0||
metaphysics of awareness|cognition|Supraconsciousness is Awareness. Awareness then is an ontological first principle that is required for cognition.|85f214040fc94505a2047b9c732106b0||
metaphysics of awareness|ontology|Supraconsciousness is Awareness. Awareness then is an ontological first principle.|85f214040fc94505a2047b9c732106b0||
reality|reductionism|In the holistic perspective of the world, reality is not equivalent to reductionism, although reductionist thinking may be powerful in certain contexts such as science.|0309b6b4041147a2893d37a4a3358499||
reality|higher order level or dimension or reality or existence|In the holistic perspective of the world, a higher order level or dimension or reality or existence ontologically prior to lower forms of knowledge and existence.|0309b6b4041147a2893d37a4a3358499||
lower forms of knowledge and existence|higher order level or dimension or reality or existence|Lower forms of knowledge and existence depend or are predicated upon the more fundamental perspective of Being in a Platonic sense.|0309b6b4041147a2893d37a4a3358499||
change|process|In the holistic perspective of the world, change or process is primary from a physical standpoint at least.|0309b6b4041147a2893d37a4a3358499||
western philosophy|eastern philosophy|We are able to integrate Eastern philosophy and Western philosophy through an extension to Kant's philosophy.|0309b6b4041147a2893d37a4a3358499||
mysticism|direct experience of the ground of existence or ground of being, which is equivalent to god.|Mysticism as well can be integrated into this holistic perspective through the Metaphysics of Awareness.|0309b6b4041147a2893d37a4a3358499||
god|awareness|In the broadest sense, awareness is equivalent to God when viewed through the intellectual lens of theology.|0309b6b4041147a2893d37a4a3358499||
holomovement|universal order and nature|The holomovement, as proposed by Bohm, is understood as the physical reality that we can see and touch, which forms the foundation of empirical reality. This holomovement underpins the universal order and nature, as defined by the empiricists.|3c1d825c76c744f4958f5eee6ec5dfd8||
yi|chinese philosophy|The yi, which is reflective of ancient Chinese philosophy, forms the basis for understanding the physical reality that we can see and touch, as defined by empirical realists. This understanding forms the foundation for Chinese philosophy.|3c1d825c76c744f4958f5eee6ec5dfd8||
awareness|creation|Awareness is not a thing outside of creation, it permeates all of creation. This truth was self-evident to the first philosophers in antiquity, as reflected in virtually all major the-philosophical traditions that we have covered in this work.|3c1d825c76c744f4958f5eee6ec5dfd8||
plato|aristotle|At the very beginning of the philosophical journey, as it were, Plato and Aristotle conceived holistic worldviews that reflected the reductionist versus holistic ontological paradigms simultaneously.|3c1d825c76c744f4958f5eee6ec5dfd8||
lǎozǐ|śaṅkara|In the East, Lǎozǐ and Śaṅkara also conceived holistic worldviews that reflected both reductionist and holistic ontological paradigms simultaneously.|3c1d825c76c744f4958f5eee6ec5dfd8||
authors of the upanishads|philosophical journey|The authors of the Upanishads, or rishis, conceived holistic worldviews that reflected both reductionist and holistic ontological paradigms simultaneously, at the very beginning of the philosophical journey as it were.|3c1d825c76c744f4958f5eee6ec5dfd8||
symbolism|truth|In antiquity, mankind's relationship with truth was symbolic, reflecting the belief in the underlying truth of mythos despite its allegorical approach to conveying said truth (allegoresis).|5dee797f7fa84a3781410f47a7464826||
mythos|truth|In antiquity, mankind's relationship with truth was symbolic and reflected in the belief of the underlying truth of mythos.|5dee797f7fa84a3781410f47a7464826||
antiquity|symbolism|Mankind's relationship with truth was symbolic in antiquity, as was their approach to conveying truth allegorically (allegoresis).|5dee797f7fa84a3781410f47a7464826||
mythos|allegoresis|In antiquity, mankind's approach to conveying the underlying truth of mythos was allegorical (allegoresis).|5dee797f7fa84a3781410f47a7464826||
antiquity|mythos|Mankind in antiquity believed in the underlying truth of mythos.|5dee797f7fa84a3781410f47a7464826||
antiquity|allegoresis|In antiquity, mankind's approach to conveying the underlying truth of mythos was allegorical.|5dee797f7fa84a3781410f47a7464826||
truth|mythos|The belief in the underlying truth of mythos persisted even as mankind's relationship with truth evolved from symbolic to linguistic specificity.|5dee797f7fa84a3781410f47a7464826||
linguistic specificity|truth|As mankind's relationship with truth evolved from symbolic to linguistic specificity, the loss of the mystery of creation occurred as a result.|5dee797f7fa84a3781410f47a7464826||
symbolism|linguistic specificity|The evolution of mankind's relationship with truth from symbolic to linguistic specificity led to the loss of the mystery of creation.|5dee797f7fa84a3781410f47a7464826||
reason|truth|Reason was looked upon as the benchmark of knowledge and truth in mankind's intellectual journey from symbolism to linguistic specificity.|5dee797f7fa84a3781410f47a7464826||
mysticism|creation|Mystical progression of words to thoughts to ideas led to the grounds for religion and philosophy, ultimately merging with the source of creation itself in Hellenic antiquity.|5dee797f7fa84a3781410f47a7464826||
creation|mysticism|The mystical progression of words to thoughts to ideas led to the grounds for religion and philosophy, ultimately merging with the source of creation itself.|5dee797f7fa84a3781410f47a7464826||
wisdom|sophia|The exercise of reflection on truth (philosophia) was considered to be not just rational, but a reflection of cosmic wisdom (sophia), which ultimately merged with the source of creation itself.|5dee797f7fa84a3781410f47a7464826||
cosmic|wisdom|The exercise of reflection on truth (philosophia) was considered to be not just rational, but a reflection of cosmic wisdom.|5dee797f7fa84a3781410f47a7464826||
awareness|being|In Hellenic antiquity, the notion of Awareness was referred to primarily as Being. From an ontological perspective, both ideas and objective reality are seen as real or true.|a57415a509f049bc97b156e55447e294||
awareness|thought|In the Platonic tradition, Awareness was considered to be the very ground of thought.|a57415a509f049bc97b156e55447e294||
being|existence|From an ontological perspective, Being is understood as the ground of existence.|a57415a509f049bc97b156e55447e294||
ideas|awareness|In the Platonic tradition, ideas are understood as higher order constructs that reflect universal order and rest in the ground of Awareness.|a57415a509f049bc97b156e55447e294||
things|being|Things - objects or physical reality - reflect a lower order construct, ontologically speaking, than ideas, which again rest in the ground of Being.|a57415a509f049bc97b156e55447e294||
logos|nous|The Neo-Platonists had right the notion of Nous and Logos. Both representing that primordial ordering force which underpinned, and was the source of, universal creation.|a57415a509f049bc97b156e55447e294||
divine intellect|nous|Each representing that primordial ordering force which underpinned, and was the source of, universal creation, and at the same time permeates it and binds it together.|a57415a509f049bc97b156e55447e294||
written word|intellectual construct|The written word represents a fundamentally reductionist and objective realist metaphysical implication, while that which truly binds the universe is not an intellectual construct but rather 'spiritual' due to its fundamentally divine sense of order that reflects a fundamentally alive universe.|f62f8db6563747aaa0e938921f5e0018||
written word|expressive and intellectual power|The written word, as a significant technological innovation of ancient man, provides the intellectual architecture and building blocks for philosophy in antiquity that forms the basis of Philosophy and Science in the post Enlightenment Era. It nonetheless limits our understanding to a large degree of the bigger picture due to its metaphysical implications.|f62f8db6563747aaa0e938921f5e0018||
divine|breath or spirit|The notion of divine aligns directly with breath, or spirit - Holy Spirit, pneuma, prāṇa, etc. - as a fundamentally primordial first principle in the Metaphysics of Awareness that goes back to the early Indo-Europeans.|f62f8db6563747aaa0e938921f5e0018||
universe|aware|The totality of being, the universe, is fundamentally alive, i.e. is 'aware'.|f62f8db6563747aaa0e938921f5e0018||
metaphysics of awareness|unity and emanation|The Metaphysics of Awareness implies a reality that reflects first order principles of unity and emanation.|5538317848d74910900c4223c2bd0f6b||
metaphysics of awareness|ancient philosophy|The Metaphysics of Awareness can be traced back to the beginning as it were, and is a fundamental principle in virtually all forms of ancient philosophy.|5538317848d74910900c4223c2bd0f6b||
metaphysics of awareness|ontological interpretation of quantum mechanics|The Ontological Interpretation of Quantum Mechanics is closely related to the Metaphysics of Awareness.|5538317848d74910900c4223c2bd0f6b||
ontological interpretation of quantum mechanics|david bohm|The Ontological Interpretation of Quantum Mechanics was established by David Bohm, a prominent physicist.|5538317848d74910900c4223c2bd0f6b||
ontological interpretation of quantum mechanics|de broglie-bohm theory|The Ontological Interpretation of Quantum Mechanics is also known as de Broglie-Bohm theory.|5538317848d74910900c4223c2bd0f6b||
ontological interpretation of quantum mechanics|eastern philosophy and mysticism|The proliferation of Eastern philosophy and mysticism in the 21st century has led to a renewed consideration of this interpretation.|5538317848d74910900c4223c2bd0f6b||
quantum potential|ontological interpretation of quantum mechanics|The Ontological Interpretation of Quantum Mechanics introduces the notion of quantum potential to its mathematical foundations.|5538317848d74910900c4223c2bd0f6b||
localization|classical mechanics|Localization is a fundamental principle of Classical Mechanics that is relaxed in this interpretation of Quantum Mechanics.|5538317848d74910900c4223c2bd0f6b||
metaphysics of awareness|quantum mechanics|Bohmian Mechanics integrates the notion of Awareness into the heart of Quantum Mechanics as its metaphysical and ontological ground for his conception of undivided wholeness.|62ecbc95047b4d6b98972c1afb694cd2||
metaphysics of awareness|undivided wholeness|Bohm's Metaphysics of Awareness provides a philosophical rendition of his conception of undivided wholeness.|62ecbc95047b4d6b98972c1afb694cd2||
